,time,customer_id,location,delta
99,07:11:00,5,spices,1
100,07:11:00,6,fruit,7
101,07:11:00,8,fruit,9
102,07:11:00,10,fruit,1
103,07:11:00,13,drinks,3
104,07:11:00,14,drinks,1
105,07:11:00,19,dairy,1
106,07:11:00,20,spices,3
107,07:11:00,21,checkout,1
108,07:11:00,22,checkout,2
109,07:11:00,23,dairy,5
110,07:11:00,24,drinks,2
111,07:11:00,25,fruit,1
112,07:11:00,26,dairy,2
113,07:11:00,27,spices,2
114,07:12:00,5,drinks,1
115,07:12:00,6,fruit,6
116,07:12:00,8,fruit,8
117,07:12:00,10,checkout,1
118,07:12:00,13,drinks,2
119,07:12:00,14,checkout,1
120,07:12:00,19,drinks,1
121,07:12:00,20,spices,2
122,07:12:00,23,dairy,4
123,07:12:00,24,drinks,1
124,07:12:00,25,drinks,1
125,07:12:00,26,dairy,1
126,07:12:00,27,spices,1
127,07:12:00,28,dairy,2
128,07:12:00,29,drinks,1
129,07:13:00,5,checkout,1
130,07:13:00,6,fruit,5
131,07:13:00,8,fruit,7
132,07:13:00,13,drinks,1
133,07:13:00,19,fruit,1
134,07:13:00,20,spices,1
135,07:13:00,23,dairy,3
136,07:13:00,24,checkout,2
137,07:13:00,25,spices,1
138,07:13:00,26,fruit,1
139,07:13:00,27,checkout,2
140,07:13:00,28,dairy,1
141,07:13:00,29,checkout,1
142,07:13:00,30,fruit,3
143,07:14:00,6,fruit,4
144,07:14:00,8,fruit,6
145,07:14:00,13,fruit,4
146,07:14:00,19,checkout,2
147,07:14:00,20,drinks,1
148,07:14:00,23,dairy,2
149,07:14:00,25,checkout,2
150,07:14:00,26,dairy,2
151,07:14:00,28,spices,1
152,07:14:00,30,fruit,2
153,07:14:00,31,drinks,4
154,07:14:00,32,dairy,7
155,07:15:00,6,fruit,3
156,07:15:00,8,fruit,5
157,07:15:00,13,fruit,3
158,07:15:00,20,checkout,2
159,07:15:00,23,dairy,1
160,07:15:00,26,dairy,1
161,07:15:00,28,dairy,2
162,07:15:00,30,fruit,1
163,07:15:00,31,drinks,3
164,07:15:00,32,dairy,6
165,07:15:00,33,fruit,1
166,07:15:00,34,fruit,1
167,07:16:00,6,fruit,2
168,07:16:00,8,fruit,4
169,07:16:00,13,fruit,2
170,07:16:00,23,spices,2
171,07:16:00,26,fruit,1
172,07:16:00,28,dairy,1
173,07:16:00,30,checkout,1
174,07:16:00,31,drinks,2
175,07:16:00,32,dairy,5
176,07:16:00,33,checkout,2
177,07:16:00,34,dairy,5
178,07:16:00,35,spices,1
179,07:17:00,6,fruit,1
180,07:17:00,8,fruit,3
181,07:17:00,13,fruit,1
182,07:17:00,23,spices,1
183,07:17:00,26,spices,1
184,07:17:00,28,drinks,1
185,07:17:00,31,drinks,1
186,07:17:00,32,dairy,4
187,07:17:00,34,dairy,4
188,07:17:00,35,fruit,1
189,07:17:00,36,fruit,1
190,07:17:00,37,dairy,2
191,07:17:00,38,fruit,2
192,07:18:00,6,spices,1
193,07:18:00,8,fruit,2
194,07:18:00,13,checkout,4
195,07:18:00,23,drinks,3
196,07:18:00,26,drinks,2
197,07:18:00,28,checkout,3
198,07:18:00,31,checkout,2
199,07:18:00,32,dairy,3
200,07:18:00,34,dairy,3
201,07:18:00,35,spices,1
202,07:18:00,36,checkout,1
203,07:18:00,37,dairy,1
204,07:18:00,38,fruit,1
205,07:18:00,39,dairy,4
206,07:18:00,40,dairy,1
207,07:18:00,41,dairy,1
208,07:18:00,42,dairy,6
209,07:19:00,6,dairy,2
210,07:19:00,8,fruit,1
211,07:19:00,23,drinks,2
212,07:19:00,26,drinks,1
213,07:19:00,32,dairy,2
214,07:19:00,34,dairy,2
215,07:19:00,35,checkout,1
216,07:19:00,37,drinks,1
217,07:19:00,38,checkout,4
218,07:19:00,39,dairy,3
219,07:19:00,40,spices,2
220,07:19:00,41,fruit,2
221,07:19:00,42,dairy,5
222,07:19:00,43,drinks,4
223,07:19:00,44,dairy,1
224,07:19:00,45,dairy,9
225,07:19:00,46,fruit,1
226,07:20:00,6,dairy,1
227,07:20:00,8,spices,1
228,07:20:00,23,drinks,1
229,07:20:00,26,checkout,1
230,07:20:00,32,dairy,1
231,07:20:00,34,dairy,1
232,07:20:00,37,fruit,6
233,07:20:00,39,dairy,2
234,07:20:00,40,spices,1
235,07:20:00,41,fruit,1
236,07:20:00,42,dairy,4
237,07:20:00,43,drinks,3
238,07:20:00,44,checkout,7
239,07:20:00,45,dairy,8
240,07:20:00,46,spices,3
241,07:20:00,47,fruit,1
242,07:20:00,48,spices,1
243,07:20:00,49,fruit,7
244,07:20:00,50,fruit,2
245,07:21:00,6,drinks,6
246,07:21:00,8,fruit,4
247,07:21:00,23,fruit,1
248,07:21:00,32,checkout,12
249,07:21:00,34,drinks,7
250,07:21:00,37,fruit,5
251,07:21:00,39,dairy,1
252,07:21:00,40,checkout,1
253,07:21:00,41,dairy,1
254,07:21:00,42,dairy,3
255,07:21:00,43,drinks,2
256,07:21:00,45,dairy,7
257,07:21:00,46,spices,2
258,07:21:00,47,checkout,1
259,07:21:00,48,checkout,3
260,07:21:00,49,fruit,6
261,07:21:00,50,fruit,1
262,07:21:00,51,spices,1
263,07:21:00,52,fruit,1
264,07:21:00,53,fruit,2
265,07:22:00,6,drinks,5
266,07:22:00,8,fruit,3
267,07:22:00,23,checkout,1
268,07:22:00,34,drinks,6
269,07:22:00,37,fruit,4
270,07:22:00,39,fruit,1
271,07:22:00,41,checkout,7
272,07:22:00,42,dairy,2
273,07:22:00,43,drinks,1
274,07:22:00,45,dairy,6
275,07:22:00,46,spices,1
276,07:22:00,49,fruit,5
277,07:22:00,50,dairy,2
278,07:22:00,51,checkout,1
279,07:22:00,52,spices,1
280,07:22:00,53,fruit,1
281,07:22:00,54,fruit,6
282,07:22:00,55,fruit,3
283,07:23:00,6,drinks,4
284,07:23:00,8,fruit,2
285,07:23:00,34,drinks,5
286,07:23:00,37,fruit,3
287,07:23:00,39,drinks,1
288,07:23:00,42,dairy,1
289,07:23:00,43,fruit,1
290,07:23:00,45,dairy,5
291,07:23:00,46,drinks,2
292,07:23:00,49,fruit,4
293,07:23:00,50,dairy,1
294,07:23:00,52,dairy,1
295,07:23:00,53,checkout,1
296,07:23:00,54,fruit,5
297,07:23:00,55,fruit,2
298,07:23:00,56,drinks,2
299,07:23:00,57,dairy,3
300,07:23:00,58,drinks,7
301,07:23:00,59,dairy,2
302,07:23:00,60,dairy,5
303,07:24:00,6,drinks,3
304,07:24:00,8,fruit,1
305,07:24:00,34,drinks,4
306,07:24:00,37,fruit,2
307,07:24:00,39,fruit,1
308,07:24:00,42,checkout,12
309,07:24:00,43,drinks,3
310,07:24:00,45,dairy,4
311,07:24:00,46,drinks,1
312,07:24:00,49,fruit,3
313,07:24:00,50,checkout,3
314,07:24:00,52,spices,2
315,07:24:00,54,fruit,4
316,07:24:00,55,fruit,1
317,07:24:00,56,drinks,1
318,07:24:00,57,dairy,2
319,07:24:00,58,drinks,6
320,07:24:00,59,dairy,1
321,07:24:00,60,dairy,4
322,07:24:00,61,fruit,3
323,07:24:00,62,spices,3
324,07:24:00,63,dairy,1
325,07:24:00,64,spices,3
326,07:25:00,6,drinks,2
327,07:25:00,8,checkout,1
328,07:25:00,34,drinks,3
329,07:25:00,37,fruit,1
330,07:25:00,39,dairy,2
331,07:25:00,43,drinks,2
332,07:25:00,45,dairy,3
333,07:25:00,46,checkout,2
334,07:25:00,49,fruit,2
335,07:25:00,52,spices,1
336,07:25:00,54,fruit,3
337,07:25:00,55,spices,1
338,07:25:00,56,spices,1
339,07:25:00,57,dairy,1
340,07:25:00,58,drinks,5
341,07:25:00,59,drinks,2
342,07:25:00,60,dairy,3
343,07:25:00,61,fruit,2
344,07:25:00,62,spices,2
345,07:25:00,63,drinks,1
346,07:25:00,64,spices,2
347,07:26:00,6,drinks,1
348,07:26:00,34,drinks,2
349,07:26:00,37,spices,1
350,07:26:00,39,dairy,1
351,07:26:00,43,drinks,1
352,07:26:00,45,dairy,2
353,07:26:00,49,fruit,1
354,07:26:00,52,checkout,5
355,07:26:00,54,fruit,2
356,07:26:00,55,checkout,1
357,07:26:00,56,checkout,1
358,07:26:00,57,checkout,2
359,07:26:00,58,drinks,4
360,07:26:00,59,drinks,1
361,07:26:00,60,dairy,2
362,07:26:00,61,fruit,1
363,07:26:00,62,spices,1
364,07:26:00,63,checkout,1
365,07:26:00,64,spices,1
366,07:26:00,65,spices,1
367,07:26:00,66,fruit,2
368,07:26:00,67,fruit,2
369,07:27:00,6,checkout,4
370,07:27:00,34,drinks,1
371,07:27:00,37,dairy,4
372,07:27:00,39,checkout,1
373,07:27:00,43,spices,5
374,07:27:00,45,dairy,1
375,07:27:00,49,checkout,2
376,07:27:00,54,fruit,1
377,07:27:00,58,drinks,3
378,07:27:00,59,checkout,4
379,07:27:00,60,dairy,1
380,07:27:00,61,spices,2
381,07:27:00,62,checkout,4
382,07:27:00,64,drinks,6
383,07:27:00,65,dairy,2
384,07:27:00,66,fruit,1
385,07:27:00,67,fruit,1
386,07:27:00,68,dairy,1
387,07:27:00,69,spices,2
388,07:27:00,70,fruit,3
389,07:28:00,34,fruit,4
390,07:28:00,37,dairy,3
391,07:28:00,43,spices,4
392,07:28:00,45,drinks,1
393,07:28:00,54,dairy,5
394,07:28:00,58,drinks,2
395,07:28:00,60,fruit,4
396,07:28:00,61,spices,1
397,07:28:00,64,drinks,5
398,07:28:00,65,dairy,1
399,07:28:00,66,dairy,2
400,07:28:00,67,checkout,2
401,07:28:00,68,drinks,16
402,07:28:00,69,spices,1
403,07:28:00,70,fruit,2
404,07:28:00,71,fruit,1
405,07:28:00,72,fruit,1
406,07:28:00,73,fruit,3
407,07:29:00,34,fruit,3
408,07:29:00,37,dairy,2
409,07:29:00,43,spices,3
410,07:29:00,45,checkout,1
411,07:29:00,54,dairy,4
412,07:29:00,58,drinks,1
413,07:29:00,60,fruit,3
414,07:29:00,61,dairy,4
415,07:29:00,64,drinks,4
416,07:29:00,65,checkout,1
417,07:29:00,66,dairy,1
418,07:29:00,68,drinks,15
419,07:29:00,69,checkout,3
420,07:29:00,70,fruit,1
421,07:29:00,71,dairy,1
422,07:29:00,72,drinks,2
423,07:29:00,73,fruit,2
424,07:30:00,34,fruit,2
425,07:30:00,37,dairy,1
426,07:30:00,43,spices,2
427,07:30:00,54,dairy,3
428,07:30:00,58,fruit,1
429,07:30:00,60,fruit,2
430,07:30:00,61,dairy,3
431,07:30:00,64,drinks,3
432,07:30:00,66,checkout,3
433,07:30:00,68,drinks,14
434,07:30:00,70,drinks,6
435,07:30:00,71,drinks,4
436,07:30:00,72,drinks,1
437,07:30:00,73,fruit,1
438,07:31:00,34,fruit,1
439,07:31:00,37,checkout,1
440,07:31:00,43,spices,1
441,07:31:00,54,dairy,2
442,07:31:00,58,drinks,2
443,07:31:00,60,fruit,1
444,07:31:00,61,dairy,2
445,07:31:00,64,drinks,2
446,07:31:00,68,drinks,13
447,07:31:00,70,drinks,5
448,07:31:00,71,drinks,3
449,07:31:00,72,spices,1
450,07:31:00,73,drinks,1
451,07:31:00,74,dairy,3
452,07:31:00,75,spices,1
453,07:32:00,34,checkout,3
454,07:32:00,43,drinks,1
455,07:32:00,54,dairy,1
456,07:32:00,58,drinks,1
457,07:32:00,60,drinks,8
458,07:32:00,61,dairy,1
459,07:32:00,64,drinks,1
460,07:32:00,68,drinks,12
461,07:32:00,70,drinks,4
462,07:32:00,71,drinks,2
463,07:32:00,72,drinks,3
464,07:32:00,73,checkout,1
465,07:32:00,74,dairy,2
466,07:32:00,75,drinks,1
467,07:32:00,76,fruit,3
468,07:33:00,43,fruit,4
469,07:33:00,54,checkout,4
470,07:33:00,58,checkout,2
471,07:33:00,60,drinks,7
472,07:33:00,61,drinks,1
473,07:33:00,64,checkout,2
474,07:33:00,68,drinks,11
475,07:33:00,70,drinks,3
476,07:33:00,71,drinks,1
477,07:33:00,72,drinks,2
478,07:33:00,74,dairy,1
479,07:33:00,75,checkout,2
480,07:33:00,76,fruit,2
481,07:33:00,77,fruit,14
482,07:34:00,43,fruit,3
483,07:34:00,60,drinks,6
484,07:34:00,61,checkout,6
485,07:34:00,68,drinks,10
486,07:34:00,70,drinks,2
487,07:34:00,71,checkout,2
488,07:34:00,72,drinks,1
489,07:34:00,74,spices,7
490,07:34:00,76,fruit,1
491,07:34:00,77,fruit,13
492,07:35:00,43,fruit,2
493,07:35:00,60,drinks,5
494,07:35:00,68,drinks,9
495,07:35:00,70,drinks,1
496,07:35:00,72,checkout,2
497,07:35:00,74,spices,6
498,07:35:00,76,checkout,1
499,07:35:00,77,fruit,12
500,07:35:00,78,fruit,2
501,07:36:00,43,fruit,1
502,07:36:00,60,drinks,4
503,07:36:00,68,drinks,8
504,07:36:00,70,spices,1
505,07:36:00,74,spices,5
506,07:36:00,77,fruit,11
507,07:36:00,78,fruit,1
508,07:36:00,79,dairy,1
509,07:36:00,80,spices,1
510,07:36:00,81,dairy,1
511,07:37:00,43,dairy,1
512,07:37:00,60,drinks,3
513,07:37:00,68,drinks,7
514,07:37:00,70,drinks,2
515,07:37:00,74,spices,4
516,07:37:00,77,fruit,10
517,07:37:00,78,checkout,1
518,07:37:00,79,drinks,3
519,07:37:00,80,dairy,1
520,07:37:00,81,fruit,5
521,07:37:00,82,spices,1
522,07:37:00,83,fruit,6
523,07:37:00,84,dairy,2
524,07:37:00,85,dairy,2
525,07:38:00,43,fruit,1
526,07:38:00,60,drinks,2
527,07:38:00,68,drinks,6
528,07:38:00,70,drinks,1
529,07:38:00,74,spices,3
530,07:38:00,77,fruit,9
531,07:38:00,79,drinks,2
532,07:38:00,80,fruit,6
533,07:38:00,81,fruit,4
534,07:38:00,82,dairy,1
535,07:38:00,83,fruit,5
536,07:38:00,84,dairy,1
537,07:38:00,85,dairy,1
538,07:38:00,86,dairy,9
539,07:38:00,87,fruit,3
540,07:39:00,43,checkout,5
541,07:39:00,60,drinks,1
542,07:39:00,68,drinks,5
543,07:39:00,70,checkout,2
544,07:39:00,74,spices,2
545,07:39:00,77,fruit,8
546,07:39:00,79,drinks,1
547,07:39:00,80,fruit,5
548,07:39:00,81,fruit,3
549,07:39:00,82,spices,4
550,07:39:00,83,fruit,4
551,07:39:00,84,checkout,6
552,07:39:00,85,drinks,1
553,07:39:00,86,dairy,8
554,07:39:00,87,fruit,2
555,07:39:00,88,dairy,3
556,07:39:00,89,dairy,2
557,07:39:00,90,spices,1
558,07:39:00,91,fruit,3
559,07:39:00,92,fruit,1
560,07:40:00,60,fruit,7
561,07:40:00,68,drinks,4
562,07:40:00,74,spices,1
563,07:40:00,77,fruit,7
564,07:40:00,79,checkout,1
565,07:40:00,80,fruit,4
566,07:40:00,81,fruit,2
567,07:40:00,82,spices,3
568,07:40:00,83,fruit,3
569,07:40:00,85,checkout,4
570,07:40:00,86,dairy,7
571,07:40:00,87,fruit,1
572,07:40:00,88,dairy,2
573,07:40:00,89,dairy,1
574,07:40:00,90,fruit,3
575,07:40:00,91,fruit,2
576,07:40:00,92,drinks,11
577,07:40:00,93,dairy,6
578,07:40:00,94,fruit,2
579,07:41:00,60,fruit,6
580,07:41:00,68,drinks,3
581,07:41:00,74,checkout,1
582,07:41:00,77,fruit,6
583,07:41:00,80,fruit,3
584,07:41:00,81,fruit,1
585,07:41:00,82,spices,2
586,07:41:00,83,fruit,2
587,07:41:00,86,dairy,6
588,07:41:00,87,checkout,2
589,07:41:00,88,dairy,1
590,07:41:00,89,drinks,8
591,07:41:00,90,fruit,2
592,07:41:00,91,fruit,1
593,07:41:00,92,drinks,10
594,07:41:00,93,dairy,5
595,07:41:00,94,fruit,1
596,07:41:00,95,dairy,1
597,07:42:00,60,fruit,5
598,07:42:00,68,drinks,2
599,07:42:00,77,fruit,5
600,07:42:00,80,fruit,2
601,07:42:00,81,checkout,1
602,07:42:00,82,spices,1
603,07:42:00,83,fruit,1
604,07:42:00,86,dairy,5
605,07:42:00,88,checkout,1
606,07:42:00,89,drinks,7
607,07:42:00,90,fruit,1
608,07:42:00,91,drinks,1
609,07:42:00,92,drinks,9
610,07:42:00,93,dairy,4
611,07:42:00,94,drinks,3
612,07:42:00,95,fruit,5
613,07:42:00,96,dairy,9
614,07:42:00,97,dairy,5
615,07:43:00,60,fruit,4
616,07:43:00,68,drinks,1
617,07:43:00,77,fruit,4
618,07:43:00,80,fruit,1
619,07:43:00,82,drinks,1
620,07:43:00,83,drinks,5
621,07:43:00,86,dairy,4
622,07:43:00,89,drinks,6
623,07:43:00,90,checkout,1
624,07:43:00,91,checkout,4
625,07:43:00,92,drinks,8
626,07:43:00,93,dairy,3
627,07:43:00,94,drinks,2
628,07:43:00,95,fruit,4
629,07:43:00,96,dairy,8
630,07:43:00,97,dairy,4
631,07:43:00,98,fruit,1
632,07:43:00,99,fruit,2
633,07:44:00,60,fruit,3
634,07:44:00,68,checkout,1
635,07:44:00,77,fruit,3
636,07:44:00,80,checkout,1
637,07:44:00,82,checkout,2
638,07:44:00,83,drinks,4
639,07:44:00,86,dairy,3
640,07:44:00,89,drinks,5
641,07:44:00,92,drinks,7
642,07:44:00,93,dairy,2
643,07:44:00,94,drinks,1
644,07:44:00,95,fruit,3
645,07:44:00,96,dairy,7
646,07:44:00,97,dairy,3
647,07:44:00,98,checkout,1
648,07:44:00,99,fruit,1
649,07:45:00,60,fruit,2
650,07:45:00,77,fruit,2
651,07:45:00,83,drinks,3
652,07:45:00,86,dairy,2
653,07:45:00,89,drinks,4
654,07:45:00,92,drinks,6
655,07:45:00,93,dairy,1
656,07:45:00,94,checkout,3
657,07:45:00,95,fruit,2
658,07:45:00,96,dairy,6
659,07:45:00,97,dairy,2
660,07:45:00,99,checkout,2
661,07:45:00,100,dairy,1
662,07:45:00,101,dairy,7
663,07:46:00,60,fruit,1
664,07:46:00,77,fruit,1
665,07:46:00,83,drinks,2
666,07:46:00,86,dairy,1
667,07:46:00,89,drinks,3
668,07:46:00,92,drinks,5
669,07:46:00,93,checkout,4
670,07:46:00,95,fruit,1
671,07:46:00,96,dairy,5
672,07:46:00,97,dairy,1
673,07:46:00,100,checkout,12
674,07:46:00,101,dairy,6
675,07:46:00,102,fruit,1
676,07:47:00,60,checkout,4
677,07:47:00,77,dairy,3
678,07:47:00,83,drinks,1
679,07:47:00,86,drinks,8
680,07:47:00,89,drinks,2
681,07:47:00,92,drinks,4
682,07:47:00,95,checkout,1
683,07:47:00,96,dairy,4
684,07:47:00,97,fruit,6
685,07:47:00,101,dairy,5
686,07:47:00,102,dairy,1
687,07:47:00,103,dairy,3
688,07:48:00,77,dairy,2
689,07:48:00,83,fruit,3
690,07:48:00,86,drinks,7
691,07:48:00,89,drinks,1
692,07:48:00,92,drinks,3
693,07:48:00,96,dairy,3
694,07:48:00,97,fruit,5
695,07:48:00,101,dairy,4
696,07:48:00,102,spices,3
697,07:48:00,103,dairy,2
698,07:48:00,104,fruit,1
699,07:48:00,105,spices,1
700,07:48:00,106,spices,1
701,07:49:00,77,dairy,1
702,07:49:00,83,fruit,2
703,07:49:00,86,drinks,6
704,07:49:00,89,fruit,3
705,07:49:00,92,drinks,2
706,07:49:00,96,dairy,2
707,07:49:00,97,fruit,4
708,07:49:00,101,dairy,3
709,07:49:00,102,spices,2
710,07:49:00,103,dairy,1
711,07:49:00,104,checkout,1
712,07:49:00,105,checkout,2
713,07:49:00,106,drinks,3
714,07:49:00,107,dairy,2
715,07:49:00,108,fruit,3
716,07:50:00,77,fruit,12
717,07:50:00,83,fruit,1
718,07:50:00,86,drinks,5
719,07:50:00,89,fruit,2
720,07:50:00,92,drinks,1
721,07:50:00,96,dairy,1
722,07:50:00,97,fruit,3
723,07:50:00,101,dairy,2
724,07:50:00,102,spices,1
725,07:50:00,103,fruit,2
726,07:50:00,106,drinks,2
727,07:50:00,107,dairy,1
728,07:50:00,108,fruit,2
729,07:50:00,109,drinks,1
730,07:51:00,77,fruit,11
731,07:51:00,83,dairy,2
732,07:51:00,86,drinks,4
733,07:51:00,89,fruit,1
734,07:51:00,92,checkout,2
735,07:51:00,96,checkout,1
736,07:51:00,97,fruit,2
737,07:51:00,101,dairy,1
738,07:51:00,102,drinks,4
739,07:51:00,103,fruit,1
740,07:51:00,106,drinks,1
741,07:51:00,107,checkout,7
742,07:51:00,108,fruit,1
743,07:51:00,109,checkout,3
744,07:51:00,110,dairy,1
745,07:51:00,111,dairy,1
746,07:51:00,112,spices,1
747,07:51:00,113,spices,3
748,07:52:00,77,fruit,10
749,07:52:00,83,dairy,1
750,07:52:00,86,drinks,3
751,07:52:00,89,dairy,1
752,07:52:00,97,fruit,1
753,07:52:00,101,drinks,14
754,07:52:00,102,drinks,3
755,07:52:00,103,dairy,1
756,07:52:00,106,checkout,1
757,07:52:00,108,checkout,4
758,07:52:00,110,drinks,7
759,07:52:00,111,spices,2
760,07:52:00,112,drinks,4
761,07:52:00,113,spices,2
762,07:52:00,114,dairy,1
763,07:52:00,115,fruit,3
764,07:52:00,116,spices,2
765,07:53:00,77,fruit,9
766,07:53:00,83,drinks,1
767,07:53:00,86,drinks,2
768,07:53:00,89,checkout,6
769,07:53:00,97,drinks,1
770,07:53:00,101,drinks,13
771,07:53:00,102,drinks,2
772,07:53:00,103,drinks,4
773,07:53:00,110,drinks,6
774,07:53:00,111,spices,1
775,07:53:00,112,drinks,3
776,07:53:00,113,spices,1
777,07:53:00,114,checkout,10
778,07:53:00,115,fruit,2
779,07:53:00,116,spices,1
780,07:53:00,117,dairy,1
781,07:53:00,118,fruit,2
782,07:53:00,119,drinks,3
783,07:54:00,77,fruit,8
784,07:54:00,83,fruit,1
785,07:54:00,86,drinks,1
786,07:54:00,97,fruit,4
787,07:54:00,101,drinks,12
788,07:54:00,102,drinks,1
789,07:54:00,103,drinks,3
790,07:54:00,110,drinks,5
791,07:54:00,111,dairy,1
792,07:54:00,112,drinks,2
793,07:54:00,113,drinks,2
794,07:54:00,115,fruit,1
795,07:54:00,116,dairy,1
796,07:54:00,117,fruit,1
797,07:54:00,118,fruit,1
798,07:54:00,119,drinks,2
799,07:55:00,77,fruit,7
800,07:55:00,83,spices,1
801,07:55:00,86,checkout,1
802,07:55:00,97,fruit,3
803,07:55:00,101,drinks,11
804,07:55:00,102,spices,4
805,07:55:00,103,drinks,2
806,07:55:00,110,drinks,4
807,07:55:00,111,checkout,2
808,07:55:00,112,drinks,1
809,07:55:00,113,drinks,1
810,07:55:00,115,checkout,5
811,07:55:00,116,drinks,7
812,07:55:00,117,dairy,1
813,07:55:00,118,dairy,1
814,07:55:00,119,drinks,1
815,07:56:00,77,fruit,6
816,07:56:00,83,fruit,1
817,07:56:00,97,fruit,2
818,07:56:00,101,drinks,10
819,07:56:00,102,spices,3
820,07:56:00,103,drinks,1
821,07:56:00,110,drinks,3
822,07:56:00,112,fruit,1
823,07:56:00,113,spices,1
824,07:56:00,116,drinks,6
825,07:56:00,117,checkout,4
826,07:56:00,118,checkout,2
827,07:56:00,119,spices,1
828,07:56:00,120,drinks,1
829,07:56:00,121,spices,1
830,07:56:00,122,spices,1
831,07:57:00,77,fruit,5
832,07:57:00,83,checkout,5
833,07:57:00,97,fruit,1
834,07:57:00,101,drinks,9
835,07:57:00,102,spices,2
836,07:57:00,103,checkout,5
837,07:57:00,110,drinks,2
838,07:57:00,112,drinks,3
839,07:57:00,113,checkout,1
840,07:57:00,116,drinks,5
841,07:57:00,119,dairy,1
842,07:57:00,120,spices,2
843,07:57:00,121,drinks,1
844,07:57:00,122,checkout,1
845,07:57:00,123,dairy,1
846,07:57:00,124,drinks,5
847,07:58:00,77,fruit,4
848,07:58:00,97,checkout,1
849,07:58:00,101,drinks,8
850,07:58:00,102,spices,1
851,07:58:00,110,drinks,1
852,07:58:00,112,drinks,2
853,07:58:00,116,drinks,4
854,07:58:00,119,drinks,3
855,07:58:00,120,spices,1
856,07:58:00,121,spices,3
857,07:58:00,123,fruit,4
858,07:58:00,124,drinks,4
859,07:58:00,125,dairy,4
860,07:58:00,126,spices,3
861,07:59:00,77,fruit,3
862,07:59:00,101,drinks,7
863,07:59:00,102,checkout,1
864,07:59:00,110,checkout,1
865,07:59:00,112,drinks,1
866,07:59:00,116,drinks,3
867,07:59:00,119,drinks,2
868,07:59:00,120,checkout,2
869,07:59:00,121,spices,2
870,07:59:00,123,fruit,3
871,07:59:00,124,drinks,3
872,07:59:00,125,dairy,3
873,07:59:00,126,spices,2
874,07:59:00,127,fruit,2
875,07:59:00,128,fruit,1
876,08:00:00,77,fruit,2
877,08:00:00,101,drinks,6
878,08:00:00,112,spices,1
879,08:00:00,116,drinks,2
